Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2018;8;WZ08-563;Bars & Clubs;111.5;5.4
2018;9;WZ08-55;Beherbergung;137.4;4.5
2018;9;WZ08-551;Hotels;138.2;4.1
2018;9;WZ08-552;Ferienunterkünfte;130.1;6.9
2018;9;WZ08-553;Campingplätze;126.2;15.3
2018;9;WZ08-56;Gastronomie;117.2;2.6
2018;9;WZ08-561;Restaurants & Cafes;117.8;3.2
2018;9;WZ08-562;Caterer;116.6;0.3
2018;9;WZ08-563;Bars & Clubs;112.9;1.9
2018;10;WZ08-55;Beherbergung;124.5;3.5
2018;10;WZ08-551;Hotels;126.1;3.4
2018;10;WZ08-552;Ferienunterkünfte;111.6;3.2
2018;10;WZ08-553;Campingplätze;88.7;15
2018;10;WZ08-56;Gastronomie;114.2;2.8
2018;10;WZ08-561;Restaurants & Cafes;114.7;1.9
2018;10;WZ08-562;Caterer;114;6.9
2018;10;WZ08-563;Bars & Clubs;109.5;-0.5
2018;11;WZ08-55;Beherbergung;103.8;5.7
2018;11;WZ08-551;Hotels;107.4;5.5
2018;11;WZ08-552;Ferienunterkünfte;70.3;8.8
2018;11;WZ08-553;Campingplätze;40.6;9.4
2018;11;WZ08-56;Gastronomie;108.5;7.2
2018;11;WZ08-561;Restaurants & Cafes;106.8;7.9
2018;11;WZ08-562;Caterer;116.7;4.8
2018;11;WZ08-563;Bars & Clubs;99.5;6.6
2018;12;WZ08-55;Beherbergung;101.6;1.5
2018;12;WZ08-551;Hotels;104.8;1.5
2018;12;WZ08-552;Ferienunterkünfte;69.6;4.7
2018;12;WZ08-553;Campingplätze;55.6;-7.9
2018;12;WZ08-56;Gastronomie;121;4.3
2018;12;WZ08-561;Restaurants & Cafes;121.8;4.9
2018;12;WZ08-562;Caterer;118.8;3.8
2018;12;WZ08-563;Bars & Clubs;120.3;1.9
2019;1;WZ08-55;Beherbergung;86.4;3.1
2019;1;WZ08-551;Hotels;87.4;3.8
2019;1;WZ08-552;Ferienunterkünfte;62.2;0.3
2019;1;WZ08-553;Campingplätze;112.3;-14.3
